epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.40629110886171527,0.24784374668226095,0.8020086083213773,0.9002009377093101,0.003
2,0.2108693291030963,0.16931653108599995,0.9167862266857962,0.9336905559276625,0.003
3,0.13420393528093397,0.12539010733984815,0.9492109038737446,0.9470864032150034,0.003
4,0.09922819060288167,0.11034746724071713,0.9622668579626973,0.955793703951775,0.003
5,0.08937682883982337,0.12322850345726868,0.9687230989956959,0.9511051574012056,0.003
6,0.07394418315574462,0.09583001913676227,0.972596843615495,0.9638312123241795,0.003
7,0.05117285585557371,0.09722575308768763,0.9827833572453372,0.9638312123241795,0.003
8,0.05242790895189497,0.08910534765424141,0.9814921090387374,0.97052913596785,0.003
9,0.03359704400964584,0.11888225768347833,0.9888091822094691,0.9591426657736102,0.003
10,0.04119491286554415,0.11299987963718292,0.9840746054519369,0.9611520428667113,0.003
11,0.03209104289539917,0.11295057522795461,0.9890961262553802,0.9665103817816477,0.003
12,0.030786069705975447,0.10743297812668014,0.9905308464849354,0.9651707970529136,0.0015
13,0.027412259375069883,0.08652667524586248,0.9908177905308465,0.9752176825184193,0.0015
14,0.020547297006871128,0.08345512691473529,0.9913916786226685,0.9732083054253181,0.0015
15,0.013671356564657589,0.08765726503077083,0.9954088952654232,0.9725385130609511,0.0015
16,0.010471132444251206,0.09219626642199706,0.996413199426112,0.9725385130609511,0.0015
17,0.008914973456920305,0.09898575304521463,0.9977044476327116,0.9738780977896851,0.0015
18,0.009255277963523543,0.11707418185907646,0.9965566714490675,0.97052913596785,0.00075
19,0.008828012602085747,0.10329994960511521,0.9968436154949785,0.9732083054253181,0.00075
20,0.006034132085307641,0.10450337844671855,0.9979913916786227,0.9732083054253181,0.00075
21,0.004757129824506533,0.10666263116459997,0.9988522238163559,0.9725385130609511,0.00075
