epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.5588692653811987,0.47615884798369945,0.6912482065997131,0.7602143335565975,0.003
2,0.4635247778003151,0.4428642402338806,0.7733142037302726,0.7843268586738111,0.003
3,0.4364698251487535,0.4242355836292121,0.7872309899569584,0.7870060281312793,0.003
4,0.4273311405989156,0.417677916920752,0.7916786226685796,0.7916945746818487,0.003
5,0.4045962219344321,0.38607522010883066,0.8020086083213773,0.8151373074346953,0.003
6,0.4014809887070567,0.38506889920145254,0.8068866571018651,0.8077695914266577,0.003
7,0.38984467139203033,0.37042407720422715,0.8140602582496413,0.8225050234427328,0.003
8,0.3791932277050046,0.3643960293235191,0.8208034433285509,0.8425987943737442,0.003
9,0.3754636172499171,0.35480589325285883,0.8309899569583931,0.84125920964501,0.003
10,0.3806503143337912,0.36052853996851103,0.8190817790530847,0.8385800401875418,0.003
11,0.36697561346646534,0.3525772177167012,0.8311334289813487,0.8298727394507702,0.003
12,0.3665575716297117,0.33777241541568015,0.8296987087517934,0.8499665103817816,0.003
13,0.3636655546585833,0.35481084469014657,0.8305595408895265,0.8245144005358339,0.003
14,0.3630372702904377,0.35971441062520354,0.8318507890961263,0.8245144005358339,0.003
15,0.35621050088272205,0.34535924624215014,0.8329985652797705,0.8452779638312123,0.003
16,0.3491158407079951,0.3330697708495575,0.8408895265423243,0.855324849296718,0.003
17,0.3412690427416195,0.32080869124148087,0.839454806312769,0.8600133958472873,0.003
18,0.33512002268172747,0.329730680183684,0.8457675753228121,0.8399196249162759,0.003
19,0.3360762175477218,0.33114758060031185,0.8414634146341463,0.854655056932351,0.003
20,0.338489677240722,0.32745076269809625,0.8377331420373028,0.8519758874748827,0.003
21,0.32782414261374615,0.32140007549216904,0.8513629842180774,0.8452779638312123,0.0015
22,0.3224496109242761,0.3070109240456228,0.8526542324246772,0.8673811118553248,0.0015
23,0.31367495387920863,0.29918214700721846,0.8591104734576758,0.8586738111185532,0.0015
24,0.3037220415973253,0.29623014321681723,0.8697274031563845,0.8653717347622237,0.0015
25,0.30399232808623455,0.29292217677500293,0.8707317073170732,0.870060281312793,0.0015
26,0.2998178448533396,0.2885904731122903,0.8652797704447632,0.8620227729403884,0.0015
27,0.29491446162741014,0.28120606756417926,0.8707317073170732,0.870060281312793,0.0015
28,0.2872237138118771,0.2790257427130301,0.8737446197991392,0.8740790354989953,0.0015
29,0.2892152245708312,0.27293641319310036,0.8764705882352941,0.8847957133288681,0.0015
30,0.28426356696158944,0.27199162837250157,0.8832137733142037,0.8780977896851976,0.0015
