epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.5495344325835941,0.49540602232654546,0.7308464849354376,0.7762893503014066,0.003
2,0.41146665818379974,0.32974529633646593,0.809038737446198,0.8459477561955794,0.003
3,0.3148629158179421,0.2801126250067735,0.8616929698708752,0.8734092431346283,0.003
4,0.263477666665355,0.24100889496091063,0.8850789096126256,0.9002009377093101,0.003
5,0.22690014090052293,0.18027543572475666,0.9055954088952655,0.9343603482920295,0.003
6,0.19365252385950157,0.1524171860962208,0.9197991391678623,0.9370395177494977,0.003
7,0.16393574895270416,0.14007068858079597,0.936441893830703,0.9457468184862693,0.003
8,0.17096353937341288,0.16672317688687088,0.9332855093256814,0.9363697253851306,0.003
9,0.1408779552540444,0.17353950511746494,0.9450502152080344,0.9316811788345613,0.003
10,0.21588791760173726,0.18374009178895243,0.9121951219512195,0.9303415941058272,0.003
11,0.13740912197823163,0.11849169093773657,0.9469153515064562,0.955793703951775,0.003
12,0.11272189603046844,0.11606394114285927,0.9601147776183644,0.9524447421299397,0.003
13,0.10642883990553223,0.17723615508469176,0.9621233859397418,0.9390488948425988,0.003
14,0.10743046683851239,0.10980086567532833,0.9596843615494979,0.9578030810448761,0.003
15,0.09156024934272342,0.12204464396233536,0.966284074605452,0.9537843268586738,0.003
16,0.08729059262417653,0.11635517995687275,0.9675753228120516,0.9584728734092431,0.003
17,0.08716132207058766,0.1481144122045789,0.9672883787661406,0.9477561955793704,0.003
18,0.11141993390179775,0.14296091489159493,0.9563845050215208,0.9537843268586738,0.0015
19,0.07539463813070588,0.09050809952311283,0.9710186513629843,0.9665103817816477,0.0015
20,0.06210528354947502,0.08817814312481034,0.9764705882352941,0.9698593436034829,0.0015
21,0.05938933653893267,0.08030742437785213,0.9793400286944046,0.9725385130609511,0.0015
22,0.05387794835923221,0.11596584233236408,0.9810616929698709,0.9631614199598124,0.0015
23,0.06098435435075329,0.11679115329544096,0.9761836441893831,0.9618218352310783,0.0015
24,0.05436644214425915,0.09296129440311131,0.9813486370157819,0.9738780977896851,0.0015
25,0.07136202514214358,0.08573932179710805,0.9715925394548063,0.9651707970529136,0.00075
26,0.04890677497603288,0.08232922375461676,0.9814921090387374,0.97052913596785,0.00075
27,0.04207279653939147,0.09139317327989321,0.9856527977044476,0.971198928332217,0.00075
28,0.03818867819081762,0.08432305715504063,0.9865136298421808,0.9738780977896851,0.00075
