epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.40056787739379585,0.2233396942533268,0.8060866172454155,0.9048894842598795,0.003
2,0.19927093159518328,0.1637751602599546,0.9191052152425543,0.9303415941058272,0.003
3,0.12943043999227594,0.11967566473146293,0.9512290284822473,0.9497655726724715,0.003
4,0.08535852808457331,0.12060819070209854,0.9693068019248277,0.9598124581379772,0.003
5,0.06766785820588782,0.10530288780466152,0.9742489270386266,0.9598124581379772,0.003
6,0.06113058312930867,0.09937989412340954,0.9765899336714787,0.9658405894172807,0.003
7,0.05830831415564866,0.08610188609209943,0.9799713876967096,0.9691895512391159,0.003
8,0.04071437945088696,0.09005353444587122,0.9855637924307452,0.97052913596785,0.003
9,0.04638967992994551,0.10402014815140632,0.9825725061776563,0.9658405894172807,0.003
10,0.03223207318330602,0.08986674917878038,0.9868643516712187,0.971868720696584,0.003
11,0.031297050470581726,0.10350927014380434,0.9886851346078814,0.971868720696584,0.0015
12,0.023006905057650538,0.10519948305296403,0.9929769801014436,0.9698593436034829,0.0015
13,0.021413588654872483,0.11751167787574555,0.9927168682533489,0.971198928332217,0.0015
14,0.024690722985856166,0.11679986615310319,0.9933671478735856,0.9698593436034829,0.0015
