epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.5591450481366906,0.44565314361894204,0.6835007173601148,0.8037508372404555,0.003
2,0.41817225763411225,0.3817541645783669,0.8091822094691535,0.8278633623576691,0.003
3,0.3595978625108043,0.3305939479275031,0.8400286944045912,0.8513060951105157,0.003
4,0.3143568198256718,0.3043837281816052,0.86987087517934,0.8667113194909578,0.003
5,0.28130002144077415,0.26479865942956293,0.887948350071736,0.8888144675150703,0.003
6,0.25094692335067215,0.25668264299691,0.9008608321377332,0.883456128600134,0.003
7,0.22493025052923726,0.23139931556967705,0.9113342898134864,0.9068988613529806,0.003
8,0.20383839570039314,0.20998908295898092,0.9230989956958393,0.9176155391828533,0.003
9,0.17995810805896092,0.2205967989869351,0.9331420373027259,0.9109176155391828,0.003
10,0.17219846863914254,0.17380051172107,0.9350071736011478,0.9323509711989283,0.003
11,0.14760220542956287,0.17794547537909366,0.9447632711621234,0.9323509711989283,0.003
12,0.14780129167322106,0.20769529423894134,0.9467718794835007,0.9256530475552579,0.003
13,0.1270163497504066,0.159453751053973,0.9535150645624103,0.9457468184862693,0.003
14,0.11704588543564894,0.16313504742562013,0.9553802008608321,0.9410582719356999,0.003
15,0.12502201880880204,0.14537014844668286,0.9513629842180775,0.9490957803081045,0.003
16,0.10002878862226026,0.14831397499282808,0.9641319942611191,0.9524447421299397,0.003
17,0.09846246301529227,0.1484211429264908,0.9637015781922526,0.9511051574012056,0.003
18,0.11876356804815563,0.1485975199869952,0.9573888091822095,0.942397856664434,0.003
19,0.09676187395023307,0.16976019330896633,0.9639885222381636,0.9457468184862693,0.0015
20,0.08784781890885218,0.11952434317006094,0.9659971305595408,0.9591426657736102,0.0015
21,0.0661241063000995,0.1238521184904497,0.9761836441893831,0.9624916275954454,0.0015
22,0.07246330728917416,0.13993533885846263,0.972596843615495,0.956463496316142,0.0015
23,0.0638657469917062,0.12612643881843782,0.9767575322812052,0.9611520428667113,0.0015
24,0.07006706094778166,0.13076173600460647,0.9754662840746054,0.9604822505023443,0.00075
25,0.05544056698808198,0.12600399423028827,0.9809182209469154,0.9665103817816477,0.00075
26,0.047586763605283015,0.1255224315276181,0.9830703012912482,0.9678499665103818,0.00075
27,0.05683545942927365,0.12810221329401264,0.9817790530846485,0.9665103817816477,0.00075
