epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.5727762226394807,0.4986725157527259,0.6912482065997131,0.7508372404554589,0.003
2,0.4849200843225422,0.46138809951694715,0.7677187948350072,0.7655726724715338,0.003
3,0.4572545573820856,0.4357569385357376,0.7687230989956958,0.7843268586738111,0.003
4,0.43712735668658526,0.40922310599047945,0.7852223816355811,0.7923643670462157,0.003
5,0.41600384584800415,0.3991414472830032,0.7981348637015782,0.8231748158070998,0.003
6,0.4134702006149155,0.3811600655616727,0.8025824964131995,0.8238446081714669,0.003
7,0.39721893763097493,0.38269225916683636,0.8166427546628408,0.8171466845277964,0.003
8,0.3956040484063766,0.3749752600202605,0.8251076040172166,0.8204956463496316,0.003
9,0.3840214541515969,0.3544194343221004,0.8203730272596843,0.826523777628935,0.003
10,0.3732103344614229,0.3557724597385404,0.8262553802008609,0.8318821165438715,0.003
11,0.36939971209256517,0.33747629097700915,0.8348637015781922,0.8526456798392499,0.003
12,0.3597765566201258,0.3343842569326923,0.8365853658536585,0.8526456798392499,0.003
13,0.3480496112893267,0.32467715982135636,0.8464849354375896,0.8533154722036169,0.003
14,0.34221933286535516,0.3228705143936512,0.8439024390243902,0.8600133958472873,0.003
15,0.33462305974584056,0.3162342326719331,0.8509325681492109,0.8687206965840589,0.003
16,0.34194976693417456,0.3181857960941164,0.8450502152080345,0.8580040187541862,0.003
17,0.33211835726261824,0.32749376136108443,0.8472022955523673,0.8472873409243135,0.003
18,0.35393109646555,0.33015941038518165,0.8365853658536585,0.840589417280643,0.003
19,0.34216209023207467,0.32054310542021675,0.8430416068866571,0.853985264567984,0.0015
20,0.33330075366254175,0.30567924140366787,0.8520803443328551,0.8713998660415271,0.0015
21,0.3249792978274429,0.29958440324482466,0.8629842180774749,0.8821165438713998,0.0015
22,0.3180676345589171,0.2945072377239069,0.8598278335724534,0.8767582049564635,0.0015
23,0.30935794877441575,0.28491990999814576,0.8659971305595409,0.8747488278633624,0.0015
24,0.3022828787950053,0.281181404735127,0.8691535150645624,0.8780977896851976,0.0015
25,0.29530814449106435,0.2731098885194455,0.8760401721664276,0.8767582049564635,0.0015
26,0.2898742923948652,0.273872285642164,0.87532281205165,0.8734092431346283,0.0015
27,0.28806135912707753,0.2727413577316435,0.8766140602582496,0.8720696584058941,0.0015
28,0.29063274164281927,0.2679331044841755,0.8746054519368723,0.883456128600134,0.0015
29,0.2802651894742481,0.2660164672080415,0.8802008608321378,0.8847957133288681,0.0015
30,0.2795899419480109,0.26114458432552085,0.8793400286944046,0.8847957133288681,0.0015
