epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.5622378910358403,0.42461325327023036,0.6840941604890103,0.7930341594105828,0.003
2,0.4240117023369165,0.3640317884732315,0.8036155546885161,0.8365706630944407,0.003
3,0.36213063387184974,0.33229509197619644,0.840291325269866,0.853985264567984,0.003
4,0.30824202612296303,0.2831925186069716,0.8742359214462219,0.8640321500334897,0.003
5,0.2752980945021639,0.2549881200641094,0.8835999479776304,0.8881446751507033,0.003
6,0.238063846100817,0.2134625106670676,0.9079204057744831,0.9095780308104487,0.003
7,0.25479212764731496,0.21878334465676796,0.8963454285342697,0.9022103148024112,0.003
8,0.21091508053922423,0.20381780615486877,0.9092209650149564,0.9035498995311454,0.003
9,0.1819501371683822,0.17004749547173653,0.9272987384575367,0.9323509711989283,0.003
10,0.20063405788515337,0.18900010855063767,0.9153335934451814,0.9202947086403215,0.003
11,0.17004156159376319,0.187652761724198,0.9287293536220574,0.9290020093770931,0.003
12,0.1885053679387736,0.16661869639210147,0.9259981792170633,0.9310113864701942,0.003
13,0.15362613862153884,0.16214284290823455,0.9425152815710756,0.9363697253851306,0.003
14,0.13301596089292525,0.1880071799146674,0.9462869033684485,0.9263228399196249,0.003
15,0.1797574272677002,0.17661064413076108,0.9343217583560931,0.9336905559276625,0.003
16,0.14097865435648127,0.17466565982575236,0.9439458967355963,0.9370395177494977,0.003
17,0.13883577516073056,0.14994898868621154,0.9488880218493952,0.9531145344943067,0.003
18,0.13653429313798396,0.1434467855469141,0.9488880218493952,0.9450770261219023,0.003
19,0.11654442773497446,0.14866361033972364,0.9555208739758096,0.9484259879437374,0.003
20,0.11072203786776007,0.1632220036957141,0.9570815450643777,0.9356999330207636,0.003
21,0.09932478836794865,0.16114291702431477,0.9608531668617506,0.9457468184862693,0.003
22,0.08758398717336405,0.1447563497854892,0.9654051242034075,0.9504353650368386,0.0015
23,0.08244027642576546,0.1356490419382867,0.9683964104564963,0.955793703951775,0.0015
24,0.07486673833571965,0.13404894875186607,0.9711275848614904,0.9584728734092431,0.0015
25,0.0636209847112675,0.13969180641642212,0.9746390948107686,0.9584728734092431,0.0015
26,0.06460662706288653,0.14404092310900984,0.9733385355702953,0.9584728734092431,0.0015
27,0.06376176218600697,0.1355085845909419,0.9741188711145793,0.9571332886805091,0.0015
28,0.06216409219406368,0.14034270879931682,0.9768500455195734,0.955123911587408,0.00075
29,0.05565814713823081,0.13527199293612158,0.9788008843802836,0.9618218352310783,0.00075
30,0.0478961302012257,0.14252655409720627,0.9823123943295617,0.9651707970529136,0.00075
